City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Itapirapua,BR,2021-09-17 20:08:45,-15.8233,-50.6133,101.62,10,5,9.06
140,Itarema,BR,2021-09-17 20:08:45,-2.9248,-39.9167,80.89,72,16,18.3
141,Caravelas,BR,2021-09-17 20:08:45,-17.7125,-39.2481,74.25,61,0,6.98
142,Codrington,AU,2021-09-17 20:08:45,-38.2667,141.9667,46.98,80,19,17.0
143,Souillac,MU,2021-09-17 20:07:27,-20.5167,57.5167,72.36,85,30,4.81
144,Marrakesh,MA,2021-09-17 20:08:46,31.6315,-8.0083,80.67,47,75,10.36
145,Vaitape,PF,2021-09-17 20:08:46,-16.5167,-151.75,79.09,72,0,21.36
146,Petauke,ZM,2021-09-17 20:08:46,-14.2426,31.3253,79.48,24,10,9.13
147,Nouadhibou,MR,2021-09-17 20:08:47,20.931,-17.0347,74.28,76,84,19.82
148,Narsaq,GL,2021-09-17 20:07:27,60.9167,-46.05,42.48,68,4,2.06
149,Plettenberg Bay,ZA,2021-09-17 20:08:47,-34.0527,23.3716,52.77,75,0,7.34
150,Byron Bay,AU,2021-09-17 20:08:47,-28.65,153.6167,58.95,84,0,8.7
151,Alcaniz,ES,2021-09-17 20:08:48,41.05,-0.1333,68.09,55,30,6.11
152,Ndele,CF,2021-09-17 20:08:48,8.4109,20.6473,69.17,97,100,2.91
153,Norman Wells,CA,2021-09-17 20:08:48,65.282,-126.8329,51.08,60,100,10.54
154,Gympie,AU,2021-09-17 20:08:48,-26.1898,152.665,50.94,95,0,1.61
155,Swellendam,ZA,2021-09-17 20:08:49,-34.0226,20.4417,50.22,82,0,10.78
156,Jacareacanga,BR,2021-09-17 20:08:49,-6.2222,-57.7528,86.68,51,99,3.98
157,Longyearbyen,SJ,2021-09-17 20:07:04,78.2186,15.6401,41.36,85,99,6.08
158,Ayan,RU,2021-09-17 20:08:49,56.45,138.1667,46.81,64,2,7.07
159,Oranjemund,NA,2021-09-17 20:08:50,-28.55,16.4333,72.64,21,0,9.8
160,Rehoboth,NA,2021-09-17 20:08:50,-23.3167,17.0833,63.27,16,0,9.35
161,Saint George,US,2021-09-17 20:07:17,37.1041,-113.5841,97.27,10,4,1.01
162,Mortka,RU,2021-09-17 20:08:50,59.3322,66.0214,38.25,83,100,11.23
163,Chinhoyi,ZW,2021-09-17 20:08:50,-17.3667,30.2,80.47,28,85,8.48
164,Kendari,ID,2021-09-17 20:07:37,-3.945,122.4989,71.8,92,92,3.31
165,Hofn,IS,2021-09-17 20:08:51,64.2539,-15.2082,52.12,93,57,3.67
166,Ilulissat,GL,2021-09-17 20:07:52,69.2167,-51.1,24.1,61,10,3.87
167,Palu,ID,2021-09-17 20:08:51,-0.8917,119.8707,74.34,96,100,2.26
168,Mahuva,IN,2021-09-17 20:08:51,21.0914,71.7622,78.06,89,26,8.72
169,Khatanga,RU,2021-09-17 20:07:39,71.9667,102.5,26.92,94,14,8.14
170,Tiksi,RU,2021-09-17 20:07:48,71.6872,128.8694,34.07,78,100,15.46
171,Olafsvik,IS,2021-09-17 20:08:52,64.8945,-23.7142,45.45,63,100,7.7
172,Santa Maria,BR,2021-09-17 20:07:15,-29.6842,-53.8069,59.67,98,100,4.7
173,Chernyshevskiy,RU,2021-09-17 20:08:52,63.0128,112.4714,30.69,88,17,3.0
174,Minden,DE,2021-09-17 20:08:52,52.2833,8.9167,59.77,88,7,3.44
175,Arlit,NE,2021-09-17 20:08:53,18.7369,7.3853,95.77,9,0,8.55
176,Zhezkazgan,KZ,2021-09-17 20:08:53,47.8043,67.7144,51.48,61,0,6.26
177,Wawa,NG,2021-09-17 20:08:53,9.9022,4.4192,74.07,91,61,3.78
178,Muros,ES,2021-09-17 20:07:09,42.7762,-9.0603,66.24,86,2,8.05
179,Pekalongan,ID,2021-09-17 20:08:53,-6.8886,109.6753,78.26,80,69,3.44
180,Dikson,RU,2021-09-17 20:07:26,73.5069,80.5464,33.94,72,58,17.92
181,Shenjiamen,CN,2021-09-17 20:07:43,29.9576,122.298,71.89,73,0,2.62
182,Touros,BR,2021-09-17 20:07:40,-5.1989,-35.4608,79.12,75,65,17.36
183,Jardim,BR,2021-09-17 20:08:54,-21.4803,-56.1381,90.73,35,90,6.49
184,Bathsheba,BB,2021-09-17 20:08:54,13.2167,-59.5167,84.38,61,14,12.91
185,Srandakan,ID,2021-09-17 20:08:55,-7.9386,110.2506,76.05,87,11,7.23
186,Fortuna,US,2021-09-17 20:08:55,40.5982,-124.1573,80.19,50,1,1.99
187,Hinton,CA,2021-09-17 20:08:55,53.4001,-117.5857,51.1,38,100,4.56
188,Garden City,US,2021-09-17 20:08:55,42.3256,-83.331,87.94,53,4,4.0
189,College Station,US,2021-09-17 20:04:55,30.628,-96.3344,94.95,48,40,5.75
190,Natal,BR,2021-09-17 20:08:56,-5.795,-35.2094,78.98,74,58,13.82
191,Mahebourg,MU,2021-09-17 20:07:41,-20.4081,57.7,72.25,85,22,6.85
192,Kahului,US,2021-09-17 20:07:16,20.8947,-156.47,79.86,84,100,14.45
193,Tongliao,CN,2021-09-17 20:08:56,43.6125,122.2653,57.4,60,0,7.29
194,Avera,US,2021-09-17 20:07:57,33.194,-82.5271,86.4,47,40,6.53
195,Kruisfontein,ZA,2021-09-17 20:07:42,-34.0033,24.7314,51.89,83,6,3.33
196,Ewa Beach,US,2021-09-17 20:08:57,21.3156,-158.0072,81.77,69,75,8.05
197,Mikuni,JP,2021-09-17 20:08:57,36.2171,136.1519,72.82,89,100,2.86
198,Krasnoselkup,RU,2021-09-17 20:08:57,65.7,82.4667,46.99,98,99,11.83
199,Middle Island,US,2021-09-17 20:08:58,40.8843,-72.9373,77.88,89,77,1.01
200,Wolfville,CA,2021-09-17 20:08:58,45.0835,-64.3655,71.53,80,65,8.01
201,Carnarvon,AU,2021-09-17 20:07:06,-24.8667,113.6333,59.67,43,0,20.2
202,Perafita,PT,2021-09-17 20:08:58,41.1825,-8.2545,60.22,93,57,3.02
203,Lompoc,US,2021-09-17 20:07:52,34.6391,-120.4579,76.78,65,11,4.0
204,Dryden,CA,2021-09-17 20:08:58,49.7833,-92.7503,53.74,52,94,12.68
205,Kashi,CN,2021-09-17 20:08:59,39.4547,75.9797,69.17,34,0,2.42
206,Pisco,PE,2021-09-17 20:07:38,-13.7,-76.2167,67.01,76,29,9.28
207,Cabo San Lucas,MX,2021-09-17 20:07:12,22.8909,-109.9124,94.8,71,39,7.0
208,Miyako,JP,2021-09-17 20:08:59,39.6367,141.9525,67.48,98,100,17.18
209,Quatre Cocos,MU,2021-09-17 20:08:59,-20.2078,57.7625,72.09,86,14,6.8
210,Fort Myers Beach,US,2021-09-17 20:08:06,26.452,-81.9481,87.03,79,100,1.01
211,Moose Factory,CA,2021-09-17 20:09:00,51.2585,-80.6094,62.58,94,90,8.05
212,Aberdeen,GB,2021-09-17 20:09:00,57.1437,-2.0981,61.21,94,90,8.05
213,Manono,CD,2021-09-17 20:09:00,-7.3,27.4167,77.45,64,82,6.24
214,Qaanaaq,GL,2021-09-17 20:07:11,77.484,-69.3632,12.49,69,4,6.62
215,Kysyl-Syr,RU,2021-09-17 20:07:56,63.8986,122.7617,35.55,76,79,10.33
216,Chiriguana,CO,2021-09-17 20:09:01,9.3624,-73.6031,98.02,39,6,4.43
217,Hambantota,LK,2021-09-17 20:07:43,6.1241,81.1185,79.77,85,82,14.09
218,Pangody,RU,2021-09-17 20:09:01,65.85,74.4859,41.4,93,100,23.35
219,Xinzhi,CN,2021-09-17 20:09:02,36.4989,111.7047,65.32,92,100,3.62
220,Nyurba,RU,2021-09-17 20:09:02,63.2842,118.3319,38.1,64,99,8.7
221,Richards Bay,ZA,2021-09-17 20:08:02,-28.783,32.0377,62.71,68,94,14.05
222,Sabang,ID,2021-09-17 20:09:02,5.8933,95.3214,82.35,75,18,10.25
223,Coihaique,CL,2021-09-17 20:09:03,-45.5752,-72.0662,43.25,88,87,8.32
224,Luderitz,NA,2021-09-17 20:09:03,-26.6481,15.1594,57.94,67,0,10.31
225,Pajan,EC,2021-09-17 20:09:04,-1.5667,-80.4167,88.79,52,73,3.09
226,Bone,DE,2021-09-17 20:09:04,51.9669,12.1396,58.28,73,94,4.09
227,Pimentel,PE,2021-09-17 20:09:04,-6.8367,-79.9342,66.51,77,71,15.23
228,Kaitangata,NZ,2021-09-17 20:07:10,-46.2817,169.8464,37.54,75,17,4.76
229,Lorengau,PG,2021-09-17 20:07:40,-2.0226,147.2712,82.0,76,48,10.67
230,Salalah,OM,2021-09-17 20:09:05,17.0151,54.0924,79.5,89,46,3.0
231,Ovalle,CL,2021-09-17 20:09:05,-30.5983,-71.2003,75.76,33,0,7.94
232,Lata,PT,2021-09-17 20:09:05,40.1629,-8.3327,68.04,89,81,5.99
233,Vao,NC,2021-09-17 20:07:25,-22.6667,167.4833,67.01,61,0,13.98
234,Bambous Virieux,MU,2021-09-17 20:07:59,-20.3428,57.7575,72.21,86,17,7.05
235,Strezhevoy,RU,2021-09-17 20:09:06,60.7333,77.5889,37.38,93,100,3.89
236,Lasa,IT,2021-09-17 20:09:06,46.6166,10.7002,61.7,88,6,1.74
237,Talnakh,RU,2021-09-17 20:09:06,69.4865,88.3972,37.51,70,15,4.34
238,Seoul,KR,2021-09-17 20:05:17,37.5683,126.9778,67.44,75,20,3.09
239,Maniitsoq,GL,2021-09-17 20:09:07,65.4167,-52.9,37.8,46,20,3.04
240,Guerrero Negro,MX,2021-09-17 20:09:07,27.9769,-114.0611,77.09,58,1,17.94
241,Saint-Augustin,CA,2021-09-17 20:09:07,51.226,-58.6502,63.61,56,77,20.31
242,Mangai,CD,2021-09-17 20:09:07,-4.05,19.5333,75.16,73,99,0.67
243,Nemuro,JP,2021-09-17 20:09:08,43.3236,145.575,58.78,83,100,18.28
244,Port Blair,IN,2021-09-17 20:09:08,11.6667,92.75,79.47,81,98,2.17
245,San Patricio,US,2021-09-17 20:09:09,28.017,-97.5169,96.89,43,12,4.65
246,Palm Coast,US,2021-09-17 20:09:09,29.585,-81.2078,88.05,68,92,5.01
247,Kamaishi,JP,2021-09-17 20:09:09,39.2667,141.8833,68.16,97,100,20.13
248,Ust-Maya,RU,2021-09-17 20:09:10,60.4167,134.5333,38.84,95,100,3.42
249,Villa Carlos Paz,AR,2021-09-17 20:09:10,-31.4241,-64.4978,81.05,23,0,8.01
250,Russell,US,2021-09-17 20:09:10,32.3502,-85.1999,83.97,81,97,2.24
251,Riyadh,SA,2021-09-17 20:06:18,24.6877,46.7219,86.07,16,75,8.25
252,Gibraleon,ES,2021-09-17 20:09:10,37.3763,-6.969,77.02,49,74,6.96
253,Vurnary,RU,2021-09-17 20:09:11,55.4904,46.9648,38.64,66,95,7.58
254,Concepcion Del Oro,MX,2021-09-17 20:09:11,24.6333,-101.4167,75.02,36,53,4.07
255,Balkhash,KZ,2021-09-17 20:09:11,46.844,74.9804,68.4,53,35,17.6
256,Panacan,PH,2021-09-17 20:09:11,9.2463,118.4082,77.77,84,41,2.37
257,Pacific Grove,US,2021-09-17 20:09:12,36.6177,-121.9166,76.44,79,30,7.0
258,Jiayuguan,CN,2021-09-17 20:09:12,39.8167,98.3,65.66,28,55,2.77
259,Mehamn,NO,2021-09-17 20:09:12,71.0357,27.8492,46.58,78,99,10.33
260,Naze,JP,2021-09-17 20:09:13,28.3667,129.4833,75.24,78,3,9.73
261,Kavieng,PG,2021-09-17 20:07:23,-2.5744,150.7967,81.66,79,64,15.39
262,Tessalit,ML,2021-09-17 20:09:13,20.1986,1.0114,95.7,14,8,5.08
263,Gizo,SB,2021-09-17 20:09:13,-8.103,156.8419,81.32,79,84,14.43
264,Bonthe,SL,2021-09-17 20:07:10,7.5264,-12.505,78.13,86,83,6.82
265,Kastamonu,TR,2021-09-17 20:09:14,41.5,33.6667,51.49,72,17,1.12
266,Zavetnoye,RU,2021-09-17 20:09:14,47.1194,43.8903,56.66,39,38,5.7
267,Mpika,ZM,2021-09-17 20:09:14,-11.8343,31.4529,69.48,33,3,4.7
268,Ancud,CL,2021-09-17 20:09:14,-41.8697,-73.8203,52.43,80,99,13.53
269,Sterling,US,2021-09-17 20:09:15,39.0062,-77.4286,82.76,78,90,1.01
270,Kawambwa,ZM,2021-09-17 20:09:15,-9.7915,29.0791,77.97,25,99,1.79
