City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,Manjeri,IN,83.08,few clouds,11.1167,76.1167,ITTC
438,Amahai,ID,75.72,light rain,-3.3333,128.9167,HOTEL ISABELA
443,Darab,IR,85.15,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
444,Punta Cardon,VE,81.79,clear sky,11.6581,-70.215,Bambuda hotel
447,Marsh Harbour,BS,83.37,clear sky,26.5412,-77.0636,Abaco Beach Resort
450,Barao De Melgaco,BR,84.72,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
455,Kavaratti,IN,81.28,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
458,Coffs Harbour,AU,80.56,overcast clouds,-30.3,153.1333,Aquajet Motel
460,Innisfail,AU,76.87,broken clouds,-17.5333,146.0333,Moondarra Motel
463,Patitirion,GR,81.95,few clouds,39.15,23.8667,Pension Votsi
467,La Primavera,CO,77.83,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
469,Laguna,US,75.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
471,Naze,JP,80.29,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
478,San Blas,MX,78.62,overcast clouds,21.5167,-105.2667,Hotel Posada del Rey
480,Pochutla,MX,78.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
483,Iracoubo,GF,78.35,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
485,Chavakkad,IN,83.57,broken clouds,10.5333,76.05,Rajah Island
493,Shimoda,JP,78.91,heavy intensity rain,34.6667,138.95,Shimoda Tokyu Hotel
494,Pozo Colorado,PY,77.2,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
499,Saint George,US,82.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
500,Kushikino,JP,81.5,scattered clouds,31.7167,130.2667,Tajiri Inn
509,Kandrian,PG,77.88,moderate rain,-6.2167,149.55,Kandrian Station
516,Muli,MV,82.67,broken clouds,2.9167,73.5667,Medhufushi Island Resort
517,Gazanjyk,TM,76.17,broken clouds,39.2446,55.5154,Railway motel
526,Bambanglipuro,ID,84.49,scattered clouds,-7.95,110.2833,Puri Brata
528,Auki,SB,85.57,clear sky,-8.7676,160.7034,Auki Motel
529,Narsingi,IN,76.95,overcast clouds,18.0333,78.4333,Dharmakar Nagoji sowrakshana complex
540,Ushibuka,JP,78.48,broken clouds,32.1906,130.0228,Hotei
541,Cabanas,CU,77.47,light rain,22.9758,-82.9219,Villa Luis Montesino y Anabel
543,Gainesville,US,75.74,clear sky,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
545,Sabha,LY,75.07,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
554,Roebourne,AU,85.23,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
556,Arkadelphia,US,76.17,clear sky,34.1209,-93.0538,COLLEGE INN MOTEL
557,Aden,YE,87.64,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
558,Linjiang,CN,77.94,scattered clouds,41.8069,126.9078,格林豪泰
560,Mangaluru,IN,83.26,few clouds,12.8667,74.8833,Goldfinch Hotel Mangaluru
562,Korla,CN,77.38,clear sky,41.7597,86.1469,Gulisitan Hotel
564,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
565,Itupiranga,BR,77.32,scattered clouds,-5.1347,-49.3267,Hotel Panorama
567,Aventura,US,78.82,clear sky,25.9565,-80.1392,Residence Inn by Marriott Miami Aventura Mall
569,Pahrump,US,81.1,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
570,Koungou,YT,75.99,clear sky,-12.7336,45.2042,Villa Netibor
571,Balkanabat,TM,75.36,clear sky,39.5108,54.3671,Nebitchi Hotel
574,Wanlaweyn,SO,75.87,scattered clouds,2.6185,44.8938,GAASHAAN HOME
581,Ewa Beach,US,82.35,few clouds,21.3156,-158.0072,Uncle Junior Robert
582,Hambantota,LK,86.09,broken clouds,6.1241,81.1185,Bungalow 63
583,Sirajganj,BD,82.4,moderate rain,24.45,89.7167,Sourav talukder
586,Port-Gentil,GA,77.05,overcast clouds,-0.7193,8.7815,Fengshui Residence
588,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
590,Moree,AU,80.62,scattered clouds,-29.4667,149.85,Molika Springs Motel
591,Waingapu,ID,88.47,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
594,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
601,Lamar,US,78.53,clear sky,33.6668,-95.5836,Kings Inn Paris TX
608,Buraydah,SA,81.48,clear sky,26.326,43.975,فندق راحة السلام
609,Oron,NG,75.2,overcast clouds,4.8256,8.2343,Aqua Belloni Lodge
611,Umm Bab,QA,89.74,scattered clouds,25.2142,50.8072,mike beach
614,Shenjiamen,CN,76.73,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
618,Sal Rei,CV,79.36,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
622,Coahuayana,MX,77.23,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
623,Sampit,ID,88.18,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
626,West Bay,KY,84.0,clear sky,19.3667,-81.4167,Calypso Cove
629,Khartoum,SD,81.01,broken clouds,15.5518,32.5324,Hotel China
632,Najran,SA,79.61,few clouds,17.4924,44.1277,محمد هادي ال فطيح
642,Mahajanga,MG,77.02,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
647,Mersing,MY,88.95,scattered clouds,2.4312,103.8405,Timotel Hotel
648,Itarema,BR,78.12,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
650,Victoria Point,AU,81.16,clear sky,-27.5833,153.3,Bay Retreat Motel
654,Bonthe,SL,76.42,broken clouds,7.5264,-12.505,Bonthe Holiday Village
656,Sur,OM,87.04,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
659,Gladstone,AU,75.13,clear sky,-23.85,151.25,Highpoint International
669,Coxim,BR,88.18,overcast clouds,-18.5067,-54.76,Hotel Avenida
670,Libreville,GA,75.92,light rain,0.3925,9.4537,Hotel Re-Ndama
671,Labuhan,ID,89.46,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
677,Turbat,PK,85.78,clear sky,26.0023,63.044,Mubashar Quarters
678,Honiara,SB,85.95,broken clouds,-9.4333,159.95,Heritage Park Hotel
681,San Buenaventura,MX,85.12,clear sky,27.0833,-101.5333,Hotel Gran Plaza
682,Bandarban,BD,79.45,light rain,22.1965,92.2262,Hotel Plaza
683,Pimenta Bueno,BR,80.96,few clouds,-11.6725,-61.1936,Cristalina Palace Hotel
697,Kalianget,ID,85.39,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
699,Tura,IN,78.57,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
