City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
337,Cabo San Lucas,MX,22.8909,-109.9124,82.81,84,72,1.99,broken clouds
338,Broken Hill,AU,-31.95,141.4333,65.46,24,0,13.98,clear sky
339,Mbamba,NG,9.9833,13.1,69.04,96,98,1.39,overcast clouds
340,Alpena,US,45.0617,-83.4327,62.94,64,1,11.01,clear sky
341,Ratlam,IN,23.3167,75.0667,72.23,97,100,13.89,overcast clouds
342,Bilibino,RU,68.0546,166.4372,44.1,72,99,2.95,overcast clouds
343,Ballina,AU,-28.8667,153.5667,80.78,50,36,18.12,scattered clouds
344,Palmer,US,42.1584,-72.3287,68.07,83,90,3.44,overcast clouds
345,Salaya,IN,22.3167,69.6,83.53,77,87,9.57,overcast clouds
346,Muyezerskiy,RU,63.9333,31.65,38.66,87,100,3.24,overcast clouds
